a	aː
akurlandsflögur	aː k ʏ r l a n t s f l œ ɣ ʏ r
akurliljan	aː k ʏ r t l ɪ l j a n
akurliljuna	aː k ʏ r t l ɪ l j ʏ n a
akurlág	aː k ʏ r l au h
akurmelur	aː k ʏ r m ɛː l ʏ r
akurprýði	aː k ʏ r p r i ð ɪ
akurreinum	aː k ʏ r ei n ʏ m
akursbrekka	aː k ʏ r s p r ɛ h k a
akursel	aː k ʏ r s ɛː l
akursvík	aː k ʏ r s v iː k
akurtunga	aː k ʏ r t u ŋ k a
akurvellir	aː k ʏ r v ɛ t l ɪ r
akurvík	aː k ʏ r v i k
akuryrkja	aː k ʏ r ɪ r̥ c a
akuryrkju	aː k ʏ r ɪ r̥ c ʏ
akörn	a k œ r t n̥
al	aː l
ala	aː l a
alamein	aː l a m ei n
alan	aː l a n
alann	aː l a n
alaotran	aː l a ɔː t r a n
alaska	aː l a s k a
alaskaflói	aː l a s k a f l ouː ɪ
alaskalúpína	aː l a s k a l uː p i n a
alast	aː l a s t
alba	a l p a
albanskir	a l p a n s c ɪ r
albanía	a l p a n i j a
albaníu	a l p a n i j ʏ
albert	a l p ɛ r̥ t
alberta	a l p ɛ r̥ t a
alberts	a l p ɛ r̥ t s
albertsson	a l p ɛ r̥ t s ɔː n
albinisma	a l p ɪ n ɪ s m a
albjart	a l p j a r̥ t
albjört	a l p j œ r̥ t
alblóðugur	a l p l ouː ð ʏ ɣ ʏ r
albræður	a l p r ai ð ʏ r
albróðir	a l p r ouː ð ɪ r
albróður	a l p r ouː ð ʏ r
albínisma	a l p i n ɪ s m a
albínismi	a l p i n ɪ s m ɪ
albínóar	a l p i n ouː a r
albúminu	a l p u m ɪ n ʏ
albúmið	a l p u m ɪ ð
alda	a l t a
aldabil	a l t a p ɪː l
aldagamalli	a l t a k aː m a t l ɪ
aldagamla	a l t a ɣ a m l a
aldagamlir	a l t a ɣ a m l ɪ r
aldahvörf	a l t a kʰ v œ r v
aldamótin	a l t a m ou t ɪ n
aldamótum	a l t a m ouː t ʏ m
aldamótunum	a l t a m ou t ɔ n ʏ m
aldan	a l t a n
aldanna	a l t a n a
aldar	a l t a r
aldarafmæli	a l t a r a m ai l ɪ
aldaraðir	a l t a r a ð ɪ r
aldarfjórðung	a l t a r f j ou r ð u ŋ k
aldarfjórðungi	a l t a r f j ou r ð u ɲ c ɪ
aldarinnar	a l t a r ɪ n a r
aldarlöng	a l t a r l œy ŋ k
aldebaran	a l t ɛ p a r a n
aldeigja	a l t ei j a
aldeilis	a l t ei l ɪ s
aldey	a l t ei
aldin	a l t ɪ n
aldingarðinum	a l t i ŋ k a r ð ɪ n ʏ m
aldingarður	a l t i ŋ k a r ð ʏ r
aldingarðurinn	a l t i ŋ k a r ð ʏ r ɪ n
aldinin	a l t ɪ n ɪ n
aldinið	a l t ɪ n ɪ ð
aldinkjötið	a l t ɪ ɲ cʰ œː t ɪ ð
aldinsafa	a l t ɪ n s aː v a
aldinþroskun	a l t ɪ n θ r ɔ s k ʏ n
aldir	a l t ɪ r
aldirnar	a l t ɪ t n a r
aldna	a l t n a
aldnir	a l t n ɪ r
aldraða	a l t r a ð a
aldraðan	a l t r a ð a n
aldraðir	a l t r a ð ɪ r
aldraðra	a l t r a ð r a
aldrei	a l t r ei
aldri	a l t r ɪ
aldrinum	a l t r ɪ n ʏ m
aldur	a l t ʏ r
aldurhniginn	a l t ʏ r̥ n̥ iː j ɪ n
aldurhnignar	a l t ʏ r̥ n̥ ɪ k n a r
aldurinn	a l t ʏ r ɪ n
aldurs	a l t ʏ r̥ s
aldursdreifingu	a l t ʏ r̥ s t r eiː v i ŋ k ʏ
aldursgreina	a l t ʏ r̥ s k r ei n a
aldursgreind	a l t ʏ r̥ s k r ei n t
aldursgreindu	a l t ʏ r̥ s k r ei n t ʏ
aldursgreiningu	a l t ʏ r̥ s k r ei n i ŋ k ʏ
aldursgreiningum	a l t ʏ r̥ s k r ei n i ŋ k ʏ m
aldurshlutföllum	a l t ʏ r̥ s l̥ ʏː t f œ t l ʏ m
aldurshóps	a l t ʏ r̥ s h ouː p s
aldurshópum	a l t ʏ r̥ s h ouː p ʏ m
aldurslaus	a l t ʏ r̥ s t l œy s
aldursmunur	a l t ʏ r̥ s m ʏː n ʏ r
aldursstöm	a l t ʏ r̥ s t œː m
aldurstama	a l t ʏ r̥ s t a m a
aldurstengdar	a l t ʏ r̥ s t ei ŋ t a r
aldurstengt	a l t ʏ r̥ s t ei ŋ̊ t
aldursákvarðanir	a l t ʏ r̥ s auː k v a r ð a n ɪ r
aldursár	a l t ʏ r̥ s au r
aldursári	a l t ʏ r̥ s auː r ɪ
aldurtila	a l t ʏ r t ɪː l a
aldurtili	a l t ʏ r t ɪː l ɪ
aldís	a l t i s
aldísarhlíðar	a l t i s a r l̥ iː ð a r
aldósterón	a l t ou s t ɛ r ou n
aldósteróns	a l t ou s t ɛ r ou n s
ale	aː l ɛ
alefli	aː l ɛ p l ɪ
alefnuðustu	aː l ɛ p n ʏ ð ʏ s t ʏ
aleiguna	aː l ei ɣ ʏ n a
alein	aː l ei n
aleinan	aː l ei n a n
aleinn	aː l ei t n̥
alelda	aː l ɛ l t a
alex	aː l ɛ k s
alexander	aː l ɛ k s a n t ɛ r
alexanders	aː l ɛ k s a n t ɛ r̥ s
alexandersson	aː l ɛ k s a n t ɛ r̥ s ɔ n
alexandra	aː l ɛ k s a n t r a
alexandre	aː l ɛ k s a n t r ɛː
alexandría	aː l ɛ k s a n t r i j a
alexandrískir	aː l ɛ k s a n t r i s c ɪ r
alexandríu	aː l ɛ k s a n t r i j ʏ
alexei	aː l ɛ k s eiː
aleyddur	aː l ei t ʏ r
alfa	a l f a
alfaeind	a l f a ei n t
alfageislun	a l f a c ei s t l ʏ n
alfallegasti	a l f a t l ɛ ɣ a s t ɪ
alfaraleið	a l f a r a l eiː ð
alfarið	a l f a r ɪ ð
alfiðraðir	a l f ɪ ð r a ð ɪ r
alfred	a l f r ɛ t
alfreð	a l f r ɛ ð
alfreðsdóttir	a l f r ɛ ð s t ou h t ɪ r
alfreðsson	a l f r ɛ ð s ɔ n
alfreðssonar	a l f r ɛ ð s ɔ n a r
alfriðaðar	a l f r ɪː ð a ð a r
alfriðaður	a l f r ɪː ð a ð ʏ r
alfriðuð	a l f r ɪː ð ʏ ð
alfræði	a l f r ai ð ɪ
alfræðibók	a l f r aiː ð ɪ p ou k
alfræðibókarinnar	a l f r aiː ð ɪ p ouː k a r ɪ n a r
alfræðilegu	a l f r aiː ð ɪ l ɛ ɣ ʏ
alfræðiorðabók	a l f r ai ð i ɔ r ð a p ouː k
alfræðiorðabókarinnar	a l f r ai ð i ɔ r ð a p ouː k a r ɪ n a r
alfræðiorðabókin	a l f r ai ð i ɔ r ð a p ouː c ɪ n
alfræðiorðabókum	a l f r ai ð i ɔ r ð a p ouː k ʏ m
alföður	a l f œ ð ʏ r
algalið	a l k a l ɪ ð
algaulu	a l k œyː l ʏ
algebra	a l c ɛ p r a
algebru	a l c ɛ p r ʏ
algebrulegt	a l c ɛ p r ʏ l ɛ x t
algebrulegu	a l c ɛ p r ʏ l ɛ ɣ ʏ
algebrunnar	a l c ɛ p r ʏ n a r
algebruumritanir	a l c ɛ p r ʏ ʏ m r ɪ t a n ɪ r
algeirsborg	a l c ei r̥ s p ɔ r k
algeirsborgar	a l c ei r̥ s p ɔ r k a r
algeng	a l c ei ŋ k
algenga	a l c ei ŋ k a
algengar	a l c ei ŋ k a r
algengara	a l c ei ŋ k a r a
algengari	a l c ei ŋ k a r ɪ
algengast	a l c ei ŋ k a s t
algengasta	a l c ei ŋ k a s t a
algengastar	a l c ei ŋ k a s t a r
algengasti	a l c ei ŋ k a s t ɪ
algengastir	a l c ei ŋ k a s t ɪ r
algengastur	a l c ei ŋ k a s t ʏ r
algengir	a l c ei ɲ c ɪ r
algengt	a l c ei ŋ̊ t
algengur	a l c ei ŋ k ʏ r
algengust	a l c ei ŋ k ʏ s t
algengustu	a l c ei ŋ k ʏ s t ʏ
alger	a l c ɛ r
algera	a l c ɛ r a
algerar	a l c ɛ r a r
algerlega	a l c ɛ r l ɛ ɣ a
algerri	a l c ɛ r ɪ
algers	a l c ɛ r̥ s
algert	a l c ɛ r̥ t
algild	a l c ɪ l t
algildamálfræði	a l c ɪ l t a m au l f r ai ð ɪ
algildan	a l c ɪ l t a n
algilds	a l c ɪ l t s
algilt	a l c ɪ l̥ t
algjör	a l c œ r
algjöra	a l c œ r a
algjöran	a l c œ r a n
algjörar	a l c œ r a r
algjörlega	a l c œ r l ɛ ɣ a
algjört	a l c œ r̥ t
algjöru	a l c œ r ʏ
algjörum	a l c œ r ʏ m
algleymið	a l k l ei m ɪ ð
algleymsku	a l k l ei m s k ʏ
algol	a l k ɔ l
algorismus	a l k ɔ r ɪ s m ʏ s
algrím	a l k r i m
algrímsins	a l k r i m s ɪ n s
algróin	a l k r ouː ɪ n
algóð	a l k ou ð
alheim	aː l h ei m
alheimi	aː l h ei m ɪ
alheiminn	aː l h ei m ɪ n
alheiminum	aː l h ei m ɪ n ʏ m
alheims	aː l h ei m s
alheimshagkerfi	aː l h ei m s h a ɣ k ɛ r v ɪ
alheimsins	aː l h ei m s ɪ n s
alheimskur	aː l h ei m s k ʏ r
alheimslausn	aː l h ei m s t l œy s t n̥
alheimssál	aː l h ei m s auː l
alheimur	aː l h ei m ʏ r
alheimurinn	aː l h ei m ʏ r ɪ n
alhvítur	aː l kʰ v i t ʏ r
alhæfa	aː l h ai v a
alhæfing	aː l h ai v i ŋ k
alhæfingar	aː l h ai v i ŋ k a r
alhæfingum	aː l h ai v i ŋ k ʏ m
ali	aː l ɪ
alin	aː l ɪ n
alinn	aː l ɪ n
alist	aː l ɪ s t
alisvín	aː l ɪ s v iː n
alið	aː l ɪ ð
alkaid	a l kʰ a i t
alkalí	a l kʰ a l i
alkalíska	a l kʰ a l i s k a
alki	aː l̥ c ɪ
alkirkja	aː l̥ c ɪ r̥ c a
alkor	a l kʰ ɔ r
alkort	a l kʰ ɔ r̥ t
alkul	a l kʰ ʏ l
alkunn	a l k ʏ n
alkunna	a l k ʏ n a
alkunnar	a l k ʏ n a r
alkunnu	a l k ʏ n ʏ
alkóhól	a l̥ k ou h ou l
alkóhóli	a l̥ k ou h ou l ɪ
alkóhólisma	a l̥ k ou h ou l ɪ s m a
alkóhólist	a l̥ k ou h ou l ɪ s t
alkóhólstyrkinn	a l̥ k ou h ou l s t ɪ r̥ c ɪ n
all	a t l̥
alla	a t l a
allagengur	a t l̥ a k ei ŋ k ʏ r
allah	a t l̥ a h
allajafna	a t l̥ a j a p n a
allan	a t l a n
allangt	a l au ŋ̊ t
allar	a t l a r
allavega	a t l a v ɛ k a
allbreið	a t l̥ p r eiː ð
allegóría	a l ɛ k ou r i j a
allegórían	a l ɛ k ou r i j a n
allegóríum	a l ɛ k ou r iː j ʏ m
allemagne	a l ɛ m a k n ɛ
allens	a l ɛ n s
alles	a l ɛ s
allfagur	a t l̥ f aː ɣ ʏ r
allgreinilega	a t l̥ k r ei n ɪ l ɛ ɣ a
allgreinilegar	a t l̥ k r ei n ɪ l ɛ ɣ a r
allgóð	a t l̥ k ou ð
allgóður	a t l̥ k ou ð ʏ r
allhvasst	a t l̥ kʰ v a s t
alli	a l ɪ
allir	a t l ɪ r
allitblint	a l ɪ p l ɪ n̥ t
alllanga	a t l̥ l au ŋ k a
alllangir	a t l̥ l au ɲ c ɪ r
alllangt	a t l̥ l au ŋ̊ t
alllangur	a t l̥ l au ŋ k ʏ r
alllengi	a t l̥ l ei ɲ c ɪ
allman	a t l̥ m a n
allmargar	a t l̥ m a r k a r
allmargir	a t l̥ m a r c ɪ r
allmikill	a t l̥ m ɪː c ɪ t l̥
allmikla	a t l̥ m ɪ h k l a
allmiklar	a t l̥ m ɪ h k l a r
allmiklir	a t l̥ m ɪ h k l ɪ r
allmáttugir	a t l̥ m au h t ʏi j ɪ r
allmörg	a t l̥ m œ r k
allnokkra	a t l̥ n ɔ h k r a
allnokkrar	a t l̥ n ɔ h k r a r
allnokkrir	a t l̥ n ɔ h k r ɪ r
allnokkru	a t l̥ n ɔ h k r ʏ
allnokkur	a t l̥ n ɔ h k ʏ r
allnáið	a t l̥ n au ɪ ð
alloft	a t l ɔ f t
allra	a t l̥ r a
allraheilagramessa	a t l̥ r a h eiː l a ɣ r a m ɛ s a
allrar	a t l̥ r a r
allri	a t l̥ r ɪ
allright	a t l̥ r ɪ k h t
allrækilega	a t l̥ r aiː c ɪ l ɛ ɣ a
alls	a l s
allsendis	a l s ɛ n t ɪ s
allsgáð	a l s k auː ð
allsherjar	a l s h ɛ r j a r
allsherjarinnrásar	a l s h ɛ r j a r ɪ n r au s a r
allsherjarlausn	a l s h ɛ r j a r l œy s t n̥
allsherjarmálfræði	a l s h ɛ r j a r m au l f r ai ð ɪ
allsherjarnefndar	a l s h ɛ r j a r n ɛ m t a r
allsherjarreglu	a l s h ɛ r j a r ɛ k l ʏ
allsherjarstríð	a l s h ɛ r j a r s t r iː ð
allsherjarverkfall	a l s h ɛ r j a r v ɛ r̥ k f a t l̥
allsherjarþinga	a l s h ɛ r j a r θ i ŋ k a
allsherjarþingi	a l s h ɛ r j a r θ i ɲ c ɪ
allskyns	a l s c ɪ n s
allslaus	a l s t l œyː s
allsnakinn	a l s t n aː c ɪ n
allsnaktir	a l s n a x t ɪ r
allsnægtir	a l s t n ai x t ɪ r
allsráðandi	a l s r au ð a n t ɪ
allsstaðar	a l s t a ð a r
allstaðar	a l s t a ð a r
allstór	a t l̥ s t ouː r
allstórt	a t l̥ s t ou r̥ t
allsérstakar	a l s j ɛ r̥ s t a k a r
allsérstakt	a l s j ɛ r̥ s t a x t
allsérstakur	a l s j ɛ r̥ s t a k ʏ r
allt	a l̥ t
alltaf	a l̥ t a v
alltf	a l̥ t f
alltof	a l̥ t ɔ v
alltsaman	a l̥ t s aː m a n
alltént	a t l̥ t j ɛ n̥ t
allumfangsmikið	a t l ʏ m f au ŋ s m ɪː c ɪ ð
allur	a t l ʏ r
allvel	a t l̥ v ɛː l
allvíðlent	a t l̥ v i ð l ɛ n̥ t
allófón	a t l̥ ou f ouː n
allþungt	a t l̥ θ u ŋ̊ t
alma	a l m a
almanak	a l m a n a k
almanakinu	a l m a n aː c ɪ n ʏ
almanaks	a l m a n a k s
almanaksins	a l m a n a k s ɪ n s
almanaksmánaðanna	a l m a n a k s m auː n a ð a n a
almannafæri	a l m a n a f ai r ɪ
almannagjá	a l m a n a c auː
almannagjár	a l m a n a c auː r
almannagæði	a l m a n a c ai ð ɪ
almannagæðum	a l m a n a c ai ð ʏ m
almannahagsmuni	a l m a n a h a x s m ʏ n ɪ
almannaheill	a l m a n a h ei t l̥
almannakór	a l m a n a k ou r
almannaróm	a l m a n a r ouː m
almannarómur	a l m a n a r ouː m ʏ r
almannatengsla	a l m a n a t ei ŋ s t l a
almannatryggingar	a l m a n a tʰ r ɪ c i ŋ k a r
almannatryggingum	a l m a n a tʰ r ɪ c i ŋ k ʏ m
almannaþágu	a l m a n a θ auː ʏ
almar	a l m a r
almarr	a l m a r
almenn	a l m ɛ n
almenna	a l m ɛ n a
almennan	a l m ɛ n a n
almennar	a l m ɛ n a r
almennari	a l m ɛ n a r ɪ
almennasta	a l m ɛ n a s t a
almennileg	a l m ɛ n ɪ l ɛ ɣ
almennilega	a l m ɛ n ɪ l ɛ ɣ a
almennilegt	a l m ɛ n ɪ l ɛ x t
almennilegu	a l m ɛ n ɪ l ɛ ɣ ʏ
almennilegur	a l m ɛ n ɪ l ɛ ɣ ʏ r
almenning	a l m ɛ n i ŋ k
almenningar	a l m ɛ n i ŋ k a r
almenningi	a l m ɛ n i ɲ c ɪ
almennings	a l m ɛ n i ŋ k s
almenningsbókasafn	a l m ɛ n i ŋ s p ou k a s a p n̥
almenningseign	a l m ɛ n i ŋ k s ei k n̥
almenningsfjall	a l m ɛ n i ŋ k s f j a t l̥
almenningsfræðsluna	a l m ɛ n i ŋ k s f r ai ð s t l ʏ n a
almenningsgarði	a l m ɛ n i ŋ k s k a r ð ɪ
almenningsgörðum	a l m ɛ n i ŋ k s k œ r ð ʏ m
almenningsklóettum	a l m ɛ n i ŋ k s k l ouː ɛ h t ʏ m
almenningssamgangnanets	a l m ɛ n i ŋ s a m k au ŋ n a n ɛː t s
almenningssamgöngum	a l m ɛ n i ŋ s a m k œy ŋ k ʏ m
almenningssamgöngur	a l m ɛ n i ŋ s a m k œy ŋ k ʏ r
almenningssteinar	a l m ɛ n i ŋ s t ei n a r
almenningstagl	a l m ɛ n i ŋ s tʰ a k l̥
almenningstindur	a l m ɛ n i ŋ s t ɪ n t ʏ r
almenningsvagna	a l m ɛ n i ŋ k s v a k n a
almenningsvagnana	a l m ɛ n i ŋ k s v a k n a n a
almenningsvæðingu	a l m ɛ n i ŋ k s v aiː ð i ŋ k ʏ
almenningsálitið	a l m ɛ n i ŋ k s auː l ɪ t ɪ ð
almenningsþörf	a l m ɛ n i ŋ s θ œ r v
almenningur	a l m ɛ n i ŋ k ʏ r
almenningurinn	a l m ɛ n i ŋ k ʏ r ɪ n
almennir	a l m ɛ n ɪ r
almennra	a l m ɛ n r a
almennrar	a l m ɛ n r a r
almennri	a l m ɛ n r ɪ
almenns	a l m ɛ n s
almennt	a l m ɛ n̥ t
almennu	a l m ɛ n ʏ
almennum	a l m ɛ n ʏ m
almennur	a l m ɛ n ʏ r
almerkasti	a l m ɛ r̥ k a s t ɪ
almesta	a l m ɛ s t a
almyrkva	a l m ɪ r̥ k v a
almyrkvi	a l m ɪ r̥ k v ɪ
almáttugir	a l m au h t ʏi j ɪ r
almáttugum	a l m au h t ʏ ɣ ʏ m
almáttugur	a l m au h t ʏ ɣ ʏ r
almætti	a l m ai h t ɪ
almættinu	a l m ai h t ɪ n ʏ
almúga	a l m u ɣ a
almúgafólks	a l m u ɣ a f ou l̥ k s
almúgann	a l m u ɣ a n
almúginn	a l m u j ɪ n
alnafni	a l n a p n ɪ
alnæmi	a l n ai m ɪ
alnæmisveiran	a l n ai m ɪ s v eiː r a n
alnöfnu	a l n œ p n ʏ
alois	a l ɔː ɪ s
alonissos	a l ɔː n ɪ s ɔː s
alopex	aː l ɔ p ɛ k s
alpafjalla	a l̥ p a f j a t l a
alpafjöllin	a l̥ p a f j œ t l ɪ n
alpahúfa	a l̥ p a h uː a
alpahúfunni	a l̥ p a h uː v ʏ n ɪ
alpana	a l̥ p a n a
alparnir	a l̥ p a t n ɪ r
alphaville	a l̥ p h a v ɪ l ɛ
alrangt	a l r au ŋ̊ t
alritið	a l r ɪː t ɪ ð
alræmdasti	a l r ai m t a s t ɪ
alræmdu	a l r ai m t ʏ
alræmdur	a l r ai m t ʏ r
alræðishyggjunnar	a l r ai ð ɪ s h ɪ c ʏ n a r
alræðisstefnur	a l r ai ð ɪ s t ɛ p n ʏ r
alríkislögreglan	a l r i c ɪ s t l œ ɣ r ɛ k l a n
alríkisstjórnarinnar	a l r i c ɪ s t j ou r t n a r ɪ n a r
alríkisþjónustunnar	a l r i c ɪ s θ j ouː n ʏ s t ʏ n a r
alsett	a l s ɛ h t
alsettan	a l s ɛ h t a n
alsettar	a l s ɛ h t a r
alsettir	a l s ɛ h t ɪ r
alsettur	a l s ɛ h t ʏ r
alskuggi	a l s k ʏ c ɪ
alskugginn	a l s k ʏ c ɪ n
alslæm	aː l s t l aiː m
alspeglun	a l s p ei k l ʏ n
alsráðandi	a l s r au ð a n t ɪ
alstaðar	a l s t a ð a r
alsvartir	a l s v a r̥ t ɪ r
alsvört	a l s v œ r̥ t
alsystkini	a l s ɪ s c ɪ n ɪ
alsæl	a l s ai l
alsír	a l s i r
alsíringarnir	a l s i r i ŋ k a t n ɪ r
alt	a l̥ t
altair	aː l t aː ɪ r
altalað	aː l t aː l a ð
altamira	aː l t aː m ɪ r a
altari	a l̥ t a r ɪ
altarinu	a l̥ t a r ɪ n ʏ
altaris	a l̥ t a r ɪ s
altarisbrauð	a l̥ t a r ɪ s p r œyː ð
altarisganga	a l̥ t a r ɪ s k au ŋ k a
altarisgangan	a l̥ t a r ɪ s k au ŋ k a n
altarispúltinu	a l̥ t a r ɪ s p u l̥ t ɪ n ʏ
altarispúltið	a l̥ t a r ɪ s p u l̥ t ɪ ð
altarissakramentið	a l̥ t a r ɪ s aː k r a m ɛ n̥ t ɪ ð
altaristafla	a l̥ t a r ɪ s t a p l a
altaristöflunum	a l̥ t a r ɪ s t œ p l ɔ n ʏ m
altarið	a l̥ t a r ɪ ð
altekinn	a l t ɛ c ɪ n
alternatives	a l t ɛ r n a t ɪ v ɛː s
altæk	a l t ai k
altítt	a l t i h t
altíð	a l t i ð
altök	a l t œ k
alva	a l v a
alvaldsins	a l v a l t s ɪ n s
alvar	a l v a r
alvara	a l v a r a
alvarleg	a l v a r l ɛ ɣ
alvarlega	a l v a r l ɛ ɣ a
alvarlegan	a l v a r l ɛ ɣ a n
alvarlegar	a l v a r l ɛ ɣ a r
alvarlegast	a l v a r l ɛ ɣ a s t
alvarlegasta	a l v a r l ɛ ɣ a s t a
alvarlegir	a l v a r l ei j ɪ r
alvarlegra	a l v a r l ɛ ɣ r a
alvarlegrar	a l v a r l ɛ ɣ r a r
alvarlegri	a l v a r l ɛ ɣ r ɪ
alvarlegt	a l v a r l ɛ x t
alvarlegu	a l v a r l ɛ ɣ ʏ
alvarlegum	a l v a r l ɛ ɣ ʏ m
alvarlegur	a l v a r l ɛ ɣ ʏ r
alvarlegust	a l v a r l ɛ ɣ ʏ s t
alvarleika	a l v a r l eiː k a
alveg	a l v ɛ ɣ
alvilda	a l v ɪ l t a
alvin	a l v ɪ n
alvitrir	a l v ɪː t r ɪ r
alvitur	a l v ɪ t ʏ r
alviðru	a l v ɪ ð r ʏ
alvön	a l v œ n
alvöru	a l v œ r ʏ
alvörugefinn	a l v œ r ʏ c ɛ v ɪ n
alvörunni	a l v œ r ʏ n ɪ
alvöruþrunginn	a l v œ r ʏ θ r u ɲ c ɪ n
alvöruþrungnar	a l v œ r ʏ θ r u ŋ n a r
alvöruþungi	a l v œ r ʏ θ u ɲ c ɪ
alæta	a l ai t a
alætur	a l aiː t ʏ r
alída	aː l i t a
alís	aː l i s
alúð	aː l u ð
alúðarvinur	aː l u ð a r v ɪ n ʏ r
alþaktir	a l θ a x t ɪ r
alþekkt	a l θ ɛ x t
alþekktu	a l θ ɛ x t ʏ
alþekktur	a l θ ɛ x t ʏ r
alþing	a l θ i ŋ k
alþingi	a l θ i ɲ c ɪ
alþingis	a l θ i ɲ c ɪ s
alþingisbækur	a l θ i ɲ c ɪ s p aiː k ʏ r
alþingisbókanna	a l θ i ɲ c ɪ s p ou k a n a
alþingishúsið	a l θ i ɲ c ɪ s h u s ɪ ð
alþingishússins	a l θ i ɲ c ɪ s h u s ɪ n s
alþingiskosningar	a l θ i ɲ c ɪ s k ɔ s t n i ŋ k a r
alþingismannatal	a l θ i ɲ c ɪ s m a n a t a l
alþingismannatali	a l θ i ɲ c ɪ s m a n a tʰ aː l ɪ
alþingismannatalinu	a l θ i ɲ c ɪ s m a n a t a l ɪ n ʏ
alþingismanns	a l θ i ɲ c ɪ s m a n s
alþingismaður	a l θ i ɲ c ɪ s m aː ð ʏ r
alþingismenn	a l θ i ɲ c ɪ s m ɛ n
alþingismönnum	a l θ i ɲ c ɪ s m œ n ʏ m
alþingismönnunum	a l θ i ɲ c ɪ s m œ n ɔ n ʏ m
alþingisreit	a l θ i ɲ c ɪ s r ei t
alþjóð	a l θ j ou ð
alþjóða	a l θ j ou ð a
alþjóðabankanum	a l θ j ou ð a p au ŋ̊ k a n ʏ m
alþjóðabankinn	a l θ j ou ð a p au ɲ̊ c ɪ n
alþjóðabaráttudagur	a l θ j ou ð a p aː r au h t ʏ t aː ɣ ʏ r
alþjóðadómstóllinn	a l θ j ou ð a t ou m s t ou t l ɪ n
alþjóðaflugmálastofnunarinnar	a l θ j ou ð a f l ʏ ɣ m au l a s t ɔ p n ʏ n a r ɪ n a r
alþjóðafyrirtækjum	a l θ j ou ð a f ɪː r ɪ t aiː c ʏ m
alþjóðaheilbrigðismálastofnunarinnar	a l θ j ou ð a h ei l p r ɪ ɣ ð ɪ s m au l a s t ɔ p n ʏ n a r ɪ n a r
alþjóðahvalveiðiráðsins	a l θ j ou ð a kʰ v a l v ei ð ɪ r au ð s ɪ n s
alþjóðahyggju	a l θ j ou ð a h ɪ c ʏ
alþjóðalínuna	a l θ j ou ð a l iː n ʏ n a
alþjóðaorðið	a l θ j ou ð a ɔ r ð ɪ ð
alþjóðasamband	a l θ j ou ð a s a m p a n t
alþjóðasamfélaginu	a l θ j ou ð a s a m f j ɛ l ai j ɪ n ʏ
alþjóðasamfélagið	a l θ j ou ð a s a m f j ɛ l ai j ɪ ð
alþjóðasamfélagsins	a l θ j ou ð a s a m f j ɛ l a x s ɪ n s
alþjóðasamninga	a l θ j ou ð a s a m n i ŋ k a
alþjóðasamningum	a l θ j ou ð a s a m n i ŋ k ʏ m
alþjóðasamningur	a l θ j ou ð a s a m n i ŋ k ʏ r
alþjóðasamstarfi	a l θ j ou ð a s a m s t a r v ɪ
alþjóðasamvinnu	a l θ j ou ð a s a m v ɪ n ʏ
alþjóðastjórnmálin	a l θ j ou ð a s t j ou r t n̥ m au l ɪ n
alþjóðastofnana	a l θ j ou ð a s t ɔ p n a n a
alþjóðastofnanir	a l θ j ou ð a s t ɔ p n a n ɪ r
alþjóðastofnunum	a l θ j ou ð a s t ɔ p n ɔ n ʏ m
alþjóðavettvangi	a l θ j ou ð a v ɛ h t v au ɲ c ɪ
alþjóðaviðskiptastofnunarinnar	a l θ j ou ð a v ɪ ð s c ɪ f t a s t ɔ p n ʏ n a r ɪ n a r
alþjóðaviðskipti	a l θ j ou ð a v ɪ ð s c ɪ f t ɪ
alþjóðavæðingar	a l θ j ou ð a v aiː ð i ŋ k a r
alþjóðavæðingin	a l θ j ou ð a v aiː ð i ɲ c ɪ n
alþjóðlaga	a l θ j ou ð l a ɣ a
alþjóðleg	a l θ j ou ð l ɛ ɣ
alþjóðlega	a l θ j ou ð l ɛ ɣ a
alþjóðlegan	a l θ j ou ð l ɛ ɣ a n
alþjóðlegar	a l θ j ou ð l ɛ ɣ a r
alþjóðlegir	a l θ j ou ð l ei j ɪ r
alþjóðlegra	a l θ j ou ð l ɛ ɣ r a
alþjóðlegrar	a l θ j ou ð l ɛ ɣ r a r
alþjóðlegri	a l θ j ou ð l ɛ ɣ r ɪ
alþjóðlegt	a l θ j ou ð l ɛ x t
alþjóðlegu	a l θ j ou ð l ɛ ɣ ʏ
alþjóðlegum	a l θ j ou ð l ɛ ɣ ʏ m
alþjóðlegur	a l θ j ou ð l ɛ ɣ ʏ r
alþýðan	a l θ i ð a n
alþýðlegri	a l θ i ð l ɛ ɣ r ɪ
alþýðu	a l θ i ð ʏ
alþýðubandalaginu	a l θ i ð ʏ p a n t a l ai j ɪ n ʏ
alþýðubandalagið	a l θ i ð ʏ p a n t a l ai j ɪ ð
alþýðubandalags	a l θ i ð ʏ p a n t a l a x s
alþýðublaðinu	a l θ i ð ʏ p l aː ð ɪ n ʏ
alþýðuflokks	a l θ i ð ʏ f l ɔ h k s
alþýðuflokksins	a l θ i ð ʏ f l ɔ h k s ɪ n s
alþýðuflokksmenn	a l θ i ð ʏ f l ɔ h k s m ɛ n
alþýðuflokkur	a l θ i ð ʏ f l ɔ h k ʏ r
alþýðuflokkurinn	a l θ i ð ʏ f l ɔ h k ʏ r ɪ n
alþýðufyrirlestrar	a l θ i ð ʏ f ɪː r ɪ r l ɛ s t r a r
alþýðuhernum	a l θ i ð ʏ h ɛ r t n ʏ m
